id	role	alias	tag
7908	Chinese Adapter	chinese adapter	PERFORMER
7817	Chinese Advisor	chinese advisor	PERFORMER
3299	Chinese Bamboo Flute	chinese bamboo flute	PERFORMER
7322	Chinese Bell	chinese bell	PERFORMER
4583	Chinese Bowl	chinese bowl	PERFORMER
9130	Chinese Chorus	chinese chorus	PERFORMER
7320	Chinese Dora Gong	chinese dora gong	PERFORMER
8125	Chinese Gong	chinese gong	PERFORMER
7133	Chinese Guide Vocals	chinese guide vocals	VOCALIST
7032	Chinese Instructor	chinese instructor	PERFORMER
6279	Chinese Instruments	chinese instruments	PERFORMER
7890	Chinese Koto	chinese koto	PERFORMER
3261	Chinese Lyrics	chinese lyrics	LYRICIST
3298	Chinese Music Consultant	chinese music consultant	PERFORMER
7131	Chinese Opera Vocals	chinese opera vocals	VOCALIST
9369	Chinese Percussion	chinese percussion	PERFORMER
7761	Chinese Poetry Reading	chinese poetry reading	PERFORMER
3354	Chinese Pronunciation	chinese pronunciation	PERFORMER
1467	Chinese Translation	chinese translation	PERFORMER
606	Chinese Translation Supervisor	chinese translation supervisor	PERFORMER
9169	Chinese Vocal Director	chinese vocal director	PERFORMER
8975	Chinese Vocals	chinese vocals	VOCALIST
3494	Chinese Winds	chinese winds	PERFORMER
4248	Chiptune Arrangement	chiptune arrangement	PERFORMER
8707	Chiptune Programmer	chiptune programmer	PERFORMER
3871	Chiptune Recreations	chiptune recreations	PERFORMER
4029	Chiptune Tracking	chiptune tracking	PERFORMER
7772	Chiptunes	chiptunes	PERFORMER
9368	Chizuken-biwa	chizuken-biwa	PERFORMER
31	Choir	choir	PERFORMER
4153	Choir Assistance	choir assistance	PERFORMER
1742	Choir Assistant	choir assistant	PERFORMER
4975	Choir Assistant Engineer	choir assistant engineer	PERFORMER
7333	Choir Assistant Recording Engineer	choir assistant recording engineer	PERFORMER
1161	Choir Conductor	choir conductor	CONDUCTOR
3488	Choir Consultant	choir consultant	PERFORMER
484	Choir Contractor	choir contractor	PERFORMER
3389	Choir Coordinator	choir coordinator	PERFORMER
371	Choir Director	choir director	PERFORMER
10031	Choir Editing Studio	choir editing studio	PERFORMER
4976	Choir Editor	choir editor	PERFORMER
9855	Choir Engineer	choir engineer	PERFORMER
6507	Choir Inspector	choir inspector	PERFORMER
7897	Choir Instructor	choir instructor	PERFORMER
4443	Choir Leader	choir leader	PERFORMER
10189	Choir Librarian	choir librarian	PERFORMER
149	Choir Lyrics	choir lyrics	LYRICIST
3580	Choir Manager	choir manager	PERFORMER
5492	Choir Manipulator	choir manipulator	PERFORMER
10029	Choir Mastering Engineer	choir mastering engineer	PERFORMER
10030	Choir Mastering Studio	choir mastering studio	PERFORMER
5572	Choir Mixing Engineer	choir mixing engineer	PERFORMER
5945	Choir Mixing Studio	choir mixing studio	PERFORMER
1750	Choir Modulator	choir modulator	PERFORMER
6116	Choir Music Preparation	choir music preparation	PERFORMER
1592	Choir Orchestrator	choir orchestrator	PERFORMER
4148	Choir Organizer	choir organizer	PERFORMER
2324	Choir Preparation	choir preparation	PERFORMER
8312	Choir Preparation Assistant	choir preparation assistant	PERFORMER
7436	Choir Principal	choir principal	PERFORMER
2160	Choir Producer	choir producer	PERFORMER
7664	Choir Programmer	choir programmer	PERFORMER
3603	Choir Recording Coordinator	choir recording coordinator	PERFORMER
2159	Choir Recording Engineer	choir recording engineer	PERFORMER
4478	Choir Recording Producer	choir recording producer	PERFORMER
3453	Choir Recording Staff	choir recording staff	PERFORMER
383	Choir Recording Studio	choir recording studio	PERFORMER
9066	Choir Recording Supervisor	choir recording supervisor	PERFORMER
7843	Choir Sampler	choir sampler	PERFORMER
4479	Choir Sound Engineer	choir sound engineer	PERFORMER
3454	Choir Supervisor	choir supervisor	PERFORMER
